Window #,Window start index,Window stop index,GT steps in window,Predicted steps in window,GT running step sum,Predicted running step sum,Difference,Index output
0,118,192,0.0,0.95435834,0.0,0.012724777857462566,0,None
1,119,193,1.0,0.9122396,0.013333333333333334,0.024887972672780354,0,None
2,120,194,1.0,0.82368284,0.02666666666666667,0.03587041060129802,0,None
3,121,195,1.0,0.6658003,0.04,0.04474774758021037,0,None
4,122,196,1.0,0.88200057,0.05333333333333334,0.0565077551205953,0,None
5,123,197,1.0,0.7557317,0.06666666666666667,0.06658417781194051,0,None
6,124,198,1.0,0.7688466,0.08,0.07683546543121338,0,None
7,125,199,1.0,0.68729746,0.09333333333333334,0.08599943161010742,0,None
8,126,200,1.0,0.5593851,0.10666666666666667,0.09345789988835652,0,None
9,127,201,1.0,0.78291726,0.12000000000000001,0.10389679670333862,0,None
10,128,202,1.0,0.68002915,0.13333333333333333,0.11296385208765666,0,None
11,129,203,1.0,0.7139318,0.14666666666666667,0.12248294274012249,0,None
12,130,204,1.0,0.74541193,0.16,0.132421768506368,0,None
13,131,205,1.0,0.6793905,0.17333333333333334,0.14148030837376913,0,None
14,132,206,1.0,0.78428215,0.18666666666666668,0.15193740367889405,0,None
15,133,207,1.0,0.6947715,0.2,0.16120102405548098,0,None
16,134,208,1.0,0.7056519,0.21333333333333335,0.17060971577962242,0,None
17,135,209,1.0,0.74790746,0.22666666666666668,0.18058181524276737,0,None
18,136,210,1.0,0.7549819,0.24000000000000002,0.19064824024836224,0,None
19,137,211,1.0,0.6775612,0.25333333333333335,0.19968238989512127,0,None
20,138,212,1.0,0.71211934,0.26666666666666666,0.20917731444040935,0,None
21,139,213,1.0,0.67189807,0.27999999999999997,0.21813595533370972,0,None
22,140,214,2.0,0.72277755,0.30666666666666664,0.2277729892730713,0,None
23,141,215,2.0,0.7845308,0.3333333333333333,0.23823340018590292,0,None
24,142,216,2.0,0.58255994,0.36,0.246000866095225,0,None
25,143,217,2.0,0.60400534,0.38666666666666666,0.254054270585378,0,None
26,144,218,2.0,0.5721229,0.41333333333333333,0.2616825755437215,0,None
27,145,219,2.0,0.6793836,0.44,0.27074102322260535,0,None
28,146,220,2.0,0.7428757,0.4666666666666667,0.28064603249231973,0,None
29,147,221,2.0,0.5573399,0.49333333333333335,0.2880772312482198,0,None
30,148,222,2.0,0.53828144,0.52,0.29525431712468464,0,None
31,149,223,2.0,0.4911347,0.5466666666666666,0.30180277983347575,0,None
32,150,224,2.0,0.558484,0.5733333333333333,0.3092492334047953,0,None
33,151,225,2.0,0.6593094,0.5999999999999999,0.3180400252342224,0,None
34,152,226,2.0,0.4616282,0.6266666666666665,0.3241950678825379,0,None
35,153,227,2.0,0.5204424,0.6533333333333331,0.33113430023193363,0,None
36,154,228,2.0,0.45638692,0.6799999999999997,0.3372194592158,0,None
37,155,229,2.0,0.55071014,0.7066666666666663,0.34456226110458377,0,None
38,156,230,2.0,0.54119366,0.733333333333333,0.3517781766255697,0,None
39,157,231,3.0,0.33930427,0.773333333333333,0.3563022335370382,0,None
40,158,232,3.0,0.48924047,0.813333333333333,0.3628254397710165,0,None
41,159,233,3.0,0.4270017,0.853333333333333,0.36851879596710213,0,None
42,160,234,3.0,0.4999997,0.8933333333333331,0.3751854586601258,0,None
43,161,235,3.0,0.54941535,0.9333333333333331,0.38251099665959687,0,None
44,162,236,3.0,0.39786434,0.9733333333333332,0.3878158545494081,0,None
45,163,237,3.0,0.5296915,1.0133333333333332,0.3948784081141155,0,None
46,164,238,3.0,0.50154155,1.0533333333333332,0.4015656288464865,0,None
47,165,239,3.0,0.55989623,1.0933333333333333,0.40903091192245494,0,None
48,166,240,4.0,0.63007677,1.1466666666666665,0.4174319354693096,0,None
49,167,241,4.0,0.58491707,1.1999999999999997,0.4252308297157289,0,None
50,168,242,4.0,0.62793636,1.253333333333333,0.4336033145586651,0,None
51,169,243,4.0,0.6242144,1.3066666666666662,0.4419261733690899,0,None
52,170,244,4.0,0.63680327,1.3599999999999994,0.4504168836275738,0,None
53,171,245,4.0,0.76840866,1.4133333333333327,0.4606623323758445,0,None
54,172,246,4.0,0.74249774,1.466666666666666,0.47056230227152523,0,None
55,173,247,5.0,0.7669879,1.5333333333333325,0.48078880786895767,0,None
56,174,248,5.0,0.61885923,1.5999999999999992,0.48904026428858455,0,None
57,175,249,5.0,0.735813,1.6666666666666659,0.4988511045773826,0,None
58,176,250,5.0,0.76931405,1.7333333333333325,0.5091086252530418,0,None
59,177,251,5.0,0.82180077,1.7999999999999992,0.5200659688313805,0,None
60,178,252,5.0,0.77793556,1.8666666666666658,0.5304384430249535,0,None
61,179,253,5.0,0.6439761,1.9333333333333325,0.539024790922801,0,None
62,180,254,5.0,0.6553608,1.9999999999999991,0.5477629351615908,0,None
63,181,255,5.0,0.5998733,2.066666666666666,0.555761245886485,0,None
64,182,256,5.0,0.6657578,2.133333333333333,0.5646380162239077,0,None
65,183,257,5.0,0.74454033,2.1999999999999997,0.5745652206738793,0,None
66,184,258,5.0,0.6851767,2.2666666666666666,0.5837009096145632,0,None
67,185,259,5.0,0.6836417,2.3333333333333335,0.5928161319096885,0,None
68,186,260,5.0,0.57852304,2.4000000000000004,0.6005297724405927,0,None
69,187,261,5.0,0.66654855,2.4666666666666672,0.6094170864423119,0,None
70,188,262,5.0,0.597887,2.533333333333334,0.6173889128367108,0,None
71,189,263,5.0,0.5395,2.600000000000001,0.6245822461446129,0,None
72,190,264,6.0,0.47633398,2.680000000000001,0.6309333658218387,0,None
73,191,265,6.0,0.39482623,2.760000000000001,0.6361977156003319,0,None
74,192,266,6.0,0.4949553,2.840000000000001,0.6427971196174624,0,None
75,193,267,6.0,0.4613744,2.9200000000000013,0.6489487783114118,0,None
