Window #,Window start index,Window stop index,GT steps in window,Predicted steps in window,GT running step sum,Predicted running step sum,Difference,Index output
0,-63,11,0.0,0.73093957,0.0,0.009745860894521077,0,None
1,-62,12,1.0,0.109962165,0.013333333333333334,0.011212023099263509,0,None
2,-61,13,1.0,0.0,0.02666666666666667,0.011212023099263509,0,None
3,-60,14,1.0,0.0,0.04,0.011212023099263509,0,None
4,-59,15,1.0,0.0,0.05333333333333334,0.011212023099263509,0,None
5,-58,16,1.0,0.0,0.06666666666666667,0.011212023099263509,0,None
6,-57,17,1.0,0.0,0.08,0.011212023099263509,0,None
7,-56,18,1.0,0.0,0.09333333333333334,0.011212023099263509,0,None
8,-55,19,1.0,0.0,0.10666666666666667,0.011212023099263509,0,None
9,-54,20,1.0,0.0,0.12000000000000001,0.011212023099263509,0,None
10,-53,21,1.0,0.0,0.13333333333333333,0.011212023099263509,0,None
11,-52,22,1.0,0.0,0.14666666666666667,0.011212023099263509,0,None
12,-51,23,1.0,0.0,0.16,0.011212023099263509,0,None
13,-50,24,1.0,0.0,0.17333333333333334,0.011212023099263509,0,None
14,-49,25,1.0,0.53454465,0.18666666666666668,0.018339285055796305,0,None
15,-48,26,1.0,0.6688821,0.2,0.027257712682088216,0,None
16,-47,27,2.0,0.87196416,0.22666666666666668,0.038883901437123614,0,None
17,-46,28,2.0,1.1116521,0.25333333333333335,0.053705929915110265,0,None
18,-45,29,2.0,0.88932294,0.28,0.06556356906890869,0,None
19,-44,30,2.0,2.0937402,0.3066666666666667,0.09348010540008544,0,None
20,-43,31,2.0,2.3198078,0.33333333333333337,0.12441087563832601,0,None
21,-42,32,2.0,1.8782732,0.36000000000000004,0.14945451895395914,0,None
22,-41,33,2.0,1.5063384,0.3866666666666667,0.16953903039296467,0,None
23,-40,34,2.0,1.4956415,0.4133333333333334,0.18948091665903727,0,None
24,-39,35,2.0,3.129256,0.44000000000000006,0.23120433012644448,0,None
25,-38,36,2.0,4.014033,0.46666666666666673,0.2847247680028279,0,None
26,-37,37,2.0,3.9129636,0.4933333333333334,0.3368976163864135,0,None
27,-36,38,3.0,4.3164144,0.5333333333333334,0.39444980780283606,0,None
28,-35,39,3.0,4.4164796,0.5733333333333335,0.45333620230356847,0,None
29,-34,40,3.0,4.9192867,0.6133333333333335,0.5189266920089721,0,None
30,-33,41,3.0,4.9636955,0.6533333333333335,0.585109299023946,0,None
31,-32,42,3.0,3.9033368,0.6933333333333336,0.6371537892023722,0,None
32,-31,43,3.0,3.2730145,0.7333333333333336,0.6807939831415812,0,None
33,-30,44,3.0,2.667666,0.7733333333333337,0.7163628625869751,0,None
34,-29,45,3.0,3.618571,0.8133333333333337,0.7646104764938355,0,None
35,-28,46,3.0,4.852292,0.8533333333333337,0.8293077039718628,0,None
36,-27,47,4.0,5.22098,0.9066666666666671,0.8989207728703817,0,None
37,-26,48,4.0,4.533278,0.9600000000000004,0.9593644793828329,0,None
38,-25,49,4.0,4.638696,1.0133333333333336,1.0212137619654338,1,13
