Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1,regular,1,890,35,55,0.9621621621621622,0.9417989417989417,0.9915,0.9518716577540107
1,irregular,1,89,277,279,0.24316939890710382,0.2418478260869565,1.8492,0.24250681198910082
1,semiregular,1,678,293,298,0.698249227600412,0.694672131147541,1.3883,0.6964560862865948
1,regular,2,716,40,398,0.9470899470899471,0.6427289048473968,0.8111,0.7657754010695187
1,irregular,2,160,470,474,0.25396825396825395,0.25236593059936907,3.1859,0.25316455696202533
1,semiregular,2,656,304,310,0.6833333333333333,0.6790890269151139,1.3741,0.6812045690550363
1,regular,3,934,52,54,0.947261663286004,0.9453441295546559,1.0544,0.9463019250253293
1,irregular,3,181,96,97,0.6534296028880866,0.6510791366906474,1.3970,0.6522522522522523
1,semiregular,3,627,118,119,0.8416107382550335,0.8404825737265416,1.0612,0.8410462776659959
2,regular,1,892,7,653,0.9922135706340378,0.5773462783171521,0.7377,0.7299509001636661
2,irregular,1,108,403,405,0.21135029354207435,0.21052631578947367,2.3641,0.2109375
2,semiregular,1,557,83,93,0.8703125,0.8569230769230769,0.9954,0.8635658914728682
2,regular,2,953,8,530,0.991675338189386,0.6426163182737694,0.7884,0.7798690671031095
2,irregular,2,195,659,662,0.22833723653395785,0.22753792298716452,3.9493,0.22793687901811807
2,semiregular,2,563,70,95,0.8894154818325435,0.8556231003039514,0.9830,0.8721920991479473
2,regular,3,1146,30,121,0.9744897959183674,0.904498816101026,0.9649,0.9381907490790012
2,irregular,3,107,241,245,0.3074712643678161,0.3039772727272727,1.6221,0.30571428571428566
2,semiregular,3,532,79,148,0.8707037643207856,0.7823529411764706,0.9490,0.8241673121611154
3,regular,1,981,29,111,0.9712871287128713,0.8983516483516484,0.9630,0.933396764985728
3,irregular,1,98,329,330,0.22950819672131148,0.22897196261682243,1.9107,0.22923976608187133
3,semiregular,1,653,174,178,0.7896009673518742,0.7858002406738869,1.1606,0.7876960193003619
3,regular,2,804,2,492,0.9975186104218362,0.6203703703703703,0.7692,0.7649857278782113
3,irregular,2,160,484,486,0.2484472049689441,0.2476780185758514,2.8839,0.24806201550387597
3,semiregular,2,618,120,124,0.8373983739837398,0.8328840970350404,1.0363,0.8351351351351352
3,regular,3,990,8,117,0.9919839679358717,0.8943089430894309,0.9487,0.9406175771971497
3,irregular,3,197,146,147,0.5743440233236151,0.5726744186046512,1.5357,0.5735080058224162
3,semiregular,3,631,58,110,0.9158200290275762,0.8515519568151148,0.9651,0.8825174825174826
4,regular,1,927,6,338,0.9935691318327974,0.7328063241106719,0.8510,0.8434940855323021
4,irregular,1,112,427,429,0.2077922077922078,0.20702402957486138,2.3728,0.2074074074074074
4,semiregular,1,561,211,214,0.7266839378238342,0.7238709677419355,1.2622,0.7252747252747253
4,regular,2,993,1,212,0.9989939637826962,0.8240663900414937,0.9055,0.9031377899045021
4,irregular,2,170,480,483,0.26153846153846155,0.26033690658499237,2.8640,0.2609363008442057
4,semiregular,2,522,142,145,0.786144578313253,0.782608695652174,1.0863,0.7843726521412473
4,regular,3,1082,33,35,0.9704035874439462,0.9686660698299016,1.0145,0.9695340501792115
4,irregular,3,177,206,207,0.4621409921671018,0.4609375,1.6842,0.46153846153846156
4,semiregular,3,538,73,77,0.8805237315875614,0.8747967479674796,0.9984,0.8776508972267537
5,regular,1,859,1,366,0.9988372093023256,0.7012244897959183,0.8266,0.8239808153477218
5,irregular,1,108,437,440,0.1981651376146789,0.19708029197080293,2.5253,0.1976212259835316
5,semiregular,1,612,246,250,0.7132867132867133,0.7099767981438515,1.2904,0.711627906976744
5,regular,2,976,2,129,0.9979550102249489,0.8832579185520362,0.9416,0.9371099375900144
5,irregular,2,146,634,637,0.18717948717948718,0.18646232439335889,3.6083,0.1868202175303903
5,semiregular,2,603,218,222,0.7344701583434835,0.730909090909091,1.2350,0.732685297691373
5,regular,3,1040,73,75,0.9344115004492363,0.9327354260089686,1.0680,0.933572710951526
5,irregular,3,198,119,120,0.6246056782334385,0.6226415094339622,1.4654,0.6236220472440945
5,semiregular,3,627,125,126,0.8337765957446809,0.8326693227091634,1.1272,0.8332225913621262
6,regular,1,887,41,45,0.9558189655172413,0.9517167381974249,1.0186,0.9537634408602149
6,irregular,1,94,428,430,0.18007662835249041,0.17938931297709923,2.6872,0.1797323135755258
6,semiregular,1,603,169,174,0.7810880829015544,0.7760617760617761,1.1084,0.7785668173014848
6,regular,2,886,35,40,0.9619978284473398,0.9568034557235421,1.0120,0.9593936112615051
6,irregular,2,145,543,547,0.21075581395348839,0.20953757225433525,3.5487,0.2101449275362319
6,semiregular,2,629,175,177,0.7823383084577115,0.7803970223325062,1.1498,0.7813664596273292
6,regular,3,914,42,44,0.9560669456066946,0.954070981210856,1.0470,0.955067920585162
6,irregular,3,169,219,220,0.43556701030927836,0.43444730077120824,1.9949,0.43500643500643504
6,semiregular,3,655,73,74,0.8997252747252747,0.8984910836762688,1.0399,0.8991077556623198
7,regular,1,1165,123,126,0.9045031055900621,0.9024012393493416,1.0496,0.9034509499806126
7,irregular,1,139,666,668,0.17267080745341615,0.17224287484510534,3.5867,0.17245657568238212
7,semiregular,1,465,90,500,0.8378378378378378,0.48186528497409326,0.7319,0.6118421052631579
7,regular,2,954,3,545,0.9968652037617555,0.6364242828552368,0.7813,0.7768729641693811
7,irregular,2,130,710,713,0.15476190476190477,0.1542111506524318,3.7467,0.15448603683897802
7,semiregular,2,642,133,137,0.8283870967741935,0.8241335044929397,1.0237,0.8262548262548262
7,regular,3,1131,3,194,0.9973544973544973,0.8535849056603774,0.9228,0.9198861325742171
7,irregular,3,179,239,241,0.42822966507177035,0.4261904761904762,1.8667,0.42720763723150357
7,semiregular,3,646,83,145,0.8861454046639232,0.8166877370417194,0.9606,0.8500000000000001
8,regular,1,843,5,375,0.9941037735849056,0.6921182266009852,0.8232,0.8160696999031947
8,irregular,1,95,626,628,0.1317614424410541,0.1313969571230982,2.9753,0.13157894736842105
8,semiregular,1,673,154,159,0.8137847642079806,0.8088942307692307,1.0060,0.8113321277878239
8,regular,2,792,5,478,0.9937264742785445,0.6236220472440945,0.7729,0.7663280116110305
8,irregular,2,123,929,933,0.11692015209125475,0.11647727272727272,4.3457,0.11669829222011384
8,semiregular,2,653,112,233,0.85359477124183,0.7370203160270881,0.9287,0.7910357359176258
8,regular,3,1002,34,36,0.9671814671814671,0.9653179190751445,1.0029,0.9662487945998072
8,irregular,3,209,313,314,0.4003831417624521,0.39961759082217974,2.1523,0.39999999999999997
8,semiregular,3,754,82,84,0.9019138755980861,0.8997613365155132,1.0133,0.9008363201911589
9,regular,1,1090,72,78,0.9380378657487092,0.9332191780821918,1.0551,0.9356223175965664
9,irregular,1,111,530,532,0.1731669266770671,0.17262830482115085,2.4173,0.17289719626168226
9,semiregular,1,609,123,127,0.8319672131147541,0.8274456521739131,1.0499,0.8297002724795641
9,regular,2,893,5,419,0.9944320712694877,0.680640243902439,0.8148,0.8081447963800905
9,irregular,2,189,989,993,0.16044142614601017,0.1598984771573604,4.4436,0.16016949152542373
9,semiregular,2,616,75,92,0.8914616497829233,0.8700564971751412,0.9900,0.8806290207290922
9,regular,3,992,3,225,0.9969849246231156,0.8151191454396056,0.9006,0.8969258589511755
9,irregular,3,217,230,231,0.4854586129753915,0.484375,1.6842,0.4849162011173185
9,semiregular,3,650,35,65,0.948905109489051,0.9090909090909091,0.9800,0.9285714285714285
10,regular,1,866,44,245,0.9516483516483516,0.7794779477947795,0.9043,0.8570014844136565
10,irregular,1,131,454,455,0.22393162393162394,0.2235494880546075,2.3725,0.22374039282664393
10,semiregular,1,566,142,147,0.7994350282485876,0.7938288920056101,1.0869,0.796622097114708
10,regular,2,969,42,46,0.9584569732937686,0.954679802955665,1.0010,0.9565646594274433
10,irregular,2,142,567,569,0.2002820874471086,0.19971870604781997,2.8785,0.19999999999999998
10,semiregular,2,606,131,134,0.8222523744911805,0.8189189189189189,1.1280,0.8205822613405552
10,regular,3,1013,224,227,0.8189167340339532,0.8169354838709677,1.2229,0.8179249091643117
10,irregular,3,217,155,157,0.5833333333333334,0.5802139037433155,1.5142,0.5817694369973191
10,semiregular,3,610,88,89,0.8739255014326648,0.8726752503576538,1.0655,0.8732999284180387
11,regular,1,929,3,275,0.9967811158798283,0.771594684385382,0.8748,0.8698501872659177
11,irregular,1,116,482,481,0.1939799331103679,0.19430485762144054,2.5063,0.19414225941422594
11,semiregular,1,596,164,167,0.7842105263157895,0.781127129750983,1.0900,0.7826657912015759
11,regular,2,809,0,518,1.0,0.6096458176337604,0.7598,0.7574906367041199
11,irregular,2,137,616,618,0.18193891102257637,0.1814569536423841,3.1590,0.1816976127320955
11,semiregular,2,562,131,142,0.810966810966811,0.7982954545454546,0.9943,0.8045812455261274
11,regular,3,1023,9,84,0.9912790697674418,0.924119241192412,0.9654,0.9565217391304348
11,irregular,3,192,197,199,0.493573264781491,0.49104859335038364,1.6360,0.49230769230769234
11,semiregular,3,621,67,90,0.9026162790697675,0.8734177215189873,0.9843,0.8877769835596854
12,regular,1,929,16,135,0.9830687830687831,0.8731203007518797,0.9434,0.9248382279741165
