Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1,regular,1,866,6010,679,0.125945317,0.560517799,1.6489,0.205676285
1,irregular,1,180,26017,10816,0.006871016,0.016369589,55.2563,0.009679241
1,semiregular,1,651,12932,1266,0.047927557,0.339593114,2.7269,0.084
1,regular,2,914,6905,3141,0.116894744,0.22540074,4.3276,0.153949806
1,irregular,2,185,18735,4981,0.009778013,0.035811072,25.9598,0.015361621
1,semiregular,2,654,14704,4029,0.04258367,0.139654068,6.6615,0.065266204
1,regular,3,828,3299,1113,0.200629998,0.426584235,-0.0715,0.272907053
1,irregular,3,188,21065,1169,0.00884581,0.138540899,6.8191,0.01662981
1,semiregular,3,677,14257,4462,0.045332798,0.131737692,7.3101,0.067453794
2,regular,1,1181,14562,7479,0.075017468,0.136374134,7.0752,0.096791378
2,irregular,1,184,27362,4553,0.006679736,0.03884315,21.8295,0.011399188
2,semiregular,1,605,10522,2444,0.054372248,0.198425713,4.7125,0.08535553
2,regular,2,988,6783,937,0.127139364,0.513246753,0.4273,0.20379538
2,irregular,2,190,24673,241,0.007641877,0.440835267,0.0138,0.015023326
2,semiregular,2,597,8037,2212,0.06914524,0.21253115,4.3416,0.104343267
2,regular,3,1130,13956,4236,0.074903884,0.210585166,4.384,0.11050264
2,irregular,3,201,25900,3633,0.007700854,0.052425665,17.6682,0.013429096
2,semiregular,3,621,11501,4442,0.05122917,0.122654553,7.8253,0.072272331
3,regular,1,1024,12360,6804,0.076509265,0.130812468,7.434,0.096549123
3,irregular,1,200,32296,12470,0.006154604,0.01578532,56.5625,0.008856219
3,semiregular,1,680,12480,5436,0.051671733,0.11118378,8.5419,0.070554057
3,regular,2,1008,10370,4940,0.08859202,0.169468729,5.6486,0.11635692
3,irregular,2,200,58825,28965,0.003388395,0.006857535,130.2009,0.004535662
3,semiregular,2,650,9060,1901,0.066941298,0.254802038,3.5628,0.106027241
3,regular,3,962,8710,797,0.099462366,0.546901649,1.6705,0.168314233
3,irregular,3,214,30174,3983,0.007042254,0.050988802,18.7366,0.012375307
3,semiregular,3,671,8187,2550,0.075750734,0.208320397,4.4986,0.111101912
4,regular,1,983,8160,2783,0.107513945,0.261019649,3.4205,0.152296847
4,irregular,1,204,41246,15631,0.004921592,0.012882854,69.4518,0.007122283
4,semiregular,1,575,14032,4532,0.039364688,0.112590562,8.3176,0.058334179
4,regular,2,1035,7243,3161,0.125030201,0.246663489,3.8111,0.165945166
4,irregular,2,206,25929,3927,0.00788215,0.049842729,18.1272,0.013611735
4,semiregular,2,569,12309,1912,0.044183879,0.229343007,4.0407,0.074093365
4,regular,3,1041,6672,2606,0.134966939,0.285440088,3.3124,0.183274648
4,irregular,3,214,22453,1963,0.009441038,0.098300413,9.5482,0.0172275
4,semiregular,3,576,10308,2160,0.05292172,0.210526316,4.456,0.084581498
5,regular,1,937,4533,582,0.171297989,0.616853193,1.455,0.268135642
5,irregular,1,186,30293,1512,0.006102562,0.109540636,7.8249,0.011561053
5,semiregular,1,610,11402,4703,0.050782551,0.114812724,7.9536,0.07041847
5,regular,2,930,4182,825,0.181924883,0.52991453,1.681,0.270860638
5,irregular,2,180,24664,11637,0.00724521,0.015232292,-52.4562,0.009819699
5,semiregular,2,627,10565,225,0.056022159,0.735915493,1.2754,0.104118233
5,regular,3,964,5657,2912,0.145597342,0.24871001,3.7126,0.183671525
5,irregular,3,201,25785,1522,0.007734934,0.116656994,-5.9401,0.014507922
5,semiregular,3,605,11455,2867,0.050165837,0.174251152,5.1976,0.077903683
6,regular,1,749,4482,645,0.143184859,0.537302726,0.4765,0.226113208
6,irregular,1,179,34463,10527,0.005167138,0.016719596,54.9026,0.007894505
6,semiregular,1,640,11640,4230,0.052117264,0.131416838,6.9472,0.074635569
6,regular,2,814,5708,1042,0.124808341,0.438577586,2.0284,0.194318453
6,irregular,2,157,43043,9497,0.003634259,0.016262689,49.5077,0.005940894
6,semiregular,2,643,7855,69,0.075664862,0.903089888,0.9843,0.139630836
6,regular,3,650,2766,2903,0.19028103,0.182943991,-1.8831,0.186540393
6,irregular,3,179,57753,30810,0.003089829,0.005776243,158.9179,0.004026046
6,semiregular,3,588,8726,1650,0.063130771,0.262734584,3.1926,0.101800554
7,regular,1,1104,5828,211,0.159261396,0.839543726,0.9309,0.267733721
7,irregular,1,201,22848,8888,0.008720552,0.022114644,-38.3956,0.012508557
7,semiregular,1,700,14686,3127,0.045495905,0.182910896,5.0289,0.072867329
7,regular,2,1103,5591,221,0.164774425,0.833081571,1.0764,0.275130955
7,irregular,2,206,34442,263,0.005945509,0.439232409,-0.0844,0.011732209
7,semiregular,2,660,9693,2796,0.063749638,0.190972222,-2.5414,0.095589833
7,regular,3,1152,7760,3731,0.129263914,0.235920541,3.9699,0.167017035
7,irregular,3,211,30632,1663,0.006841098,0.112593383,-6.3289,0.012898493
7,semiregular,3,706,13180,5221,0.050842575,0.11911591,7.7884,0.07126634
8,regular,1,1014,10654,5671,0.086904354,0.151682872,6.4589,0.110499646
8,irregular,1,218,60248,24392,0.003605332,0.008858188,101.2757,0.00512483
8,semiregular,1,748,17385,4955,0.041250758,0.131159039,6.896,0.062762208
8,regular,2,942,7396,2800,0.112976733,0.251737039,3.6155,0.155960265
8,irregular,2,196,40150,6053,0.004857978,0.031365018,-23.716,0.00841292
8,semiregular,2,756,11378,1657,0.062304269,0.313302942,2.9178,0.103938956
8,regular,3,925,5836,2493,0.136814081,0.270626097,3.3024,0.181746733
8,irregular,3,223,47907,12932,0.004633285,0.016951729,54.1358,0.007277474
8,semiregular,3,765,11396,3122,0.062906011,0.196809879,4.7001,0.095338983
9,regular,1,1054,9261,5010,0.102181289,0.173812665,5.4779,0.128701386
9,irregular,1,249,45462,16898,0.005447267,0.014521491,64.4624,0.007922619
9,semiregular,1,660,9875,1825,0.062648315,0.265593561,3.5449,0.101382488
9,regular,2,1009,8798,2013,0.102885694,0.333884844,2.7299,0.157299867
9,irregular,2,236,36067,12567,0.00650084,0.01843318,48.1316,0.00961186
9,semiregular,2,660,12929,7887,0.048568695,0.077220077,12.1926,0.05963137
9,regular,3,1050,11820,4533,0.081585082,0.18807093,5.0434,0.113802634
9,irregular,3,256,29434,6797,0.008622432,0.036296611,26.515,0.013934627
9,semiregular,3,653,10866,5397,0.056688949,0.107933884,8.6305,0.074335477
10,regular,1,936,10621,2668,0.080989876,0.259711432,3.5542,0.123474705
10,irregular,1,221,33843,7778,0.006487788,0.027628454,32.3846,0.010508047
10,semiregular,1,614,12790,3931,0.045807222,0.135093509,6.9284,0.068416068
10,regular,2,983,13326,7781,0.068698022,0.112163396,8.643,0.085207819
10,irregular,2,216,23635,1470,0.009056224,0.128113879,6.8259,0.016916631
10,semiregular,2,620,10524,3243,0.055635319,0.160497023,5.8887,0.082628107
10,regular,3,937,5837,1818,0.138323,0.340108893,2.717,0.196662819
10,irregular,3,237,25758,1603,0.009117138,0.128804348,7.4494,0.01702892
10,semiregular,3,627,9894,2221,0.059595096,0.220154494,4.3415,0.093799087
11,regular,1,1028,8832,4390,0.104259635,0.189737911,5.0636,0.134572588
11,irregular,1,214,27684,2875,0.007670801,0.069278084,12.9247,0.013812244
11,semiregular,1,656,13751,3655,0.045533421,0.15216887,6.1586,0.070092959
11,regular,2,923,4593,491,0.1673314,0.652758133,1.3215,0.266378066
11,irregular,2,209,67529,38840,0.003085417,0.00535225,163.3849,0.003914334
11,semiregular,2,603,8553,836,0.065858453,0.419041001,-0.0557,0.113827277
11,regular,3,998,6954,4426,0.125503018,0.18399705,5.0692,0.149222488
11,irregular,3,230,32877,7281,0.006947171,0.030621755,31.4268,0.011325028
11,semiregular,3,661,11004,3113,0.056665238,0.175145734,5.3914,0.085627307
12,regular,1,912,5376,958,0.145038168,0.487700535,1.857,0.223584212
12,irregular,1,190,33602,9031,0.005622633,0.02060514,45.201,0.008834538
12,semiregular,1,603,14534,6442,0.039836163,0.085592619,10.9906,0.054368407
12,regular,2,883,3200,1038,0.216262552,0.459656429,0.0924,0.294137242
12,irregular,2,165,21019,8777,0.007788897,0.018452248,-41.8333,0.010953993
