Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1,regular,1,647,25,552,0.962797619,0.539616347,0.7204,0.691608765
1,irregular,1,85,307,308,0.216836735,0.216284987,1.9749,0.21656051
1,semiregular,1,542,144,175,0.790087464,0.755927476,0.9801,0.772630078
1,regular,2,453,23,943,0.951680672,0.324498567,0.5101,0.483974359
1,irregular,2,145,417,420,0.258007117,0.256637168,2.8392,0.257320319
1,semiregular,2,577,167,170,0.775537634,0.772423025,1.0626,0.773977197
1,regular,3,876,36,83,0.960526316,0.913451512,0.9765,0.936397648
1,irregular,3,176,391,394,0.310405644,0.30877193,2.8643,0.309586631
1,semiregular,3,604,146,150,0.805333333,0.801061008,1.0725,0.803191489
2,regular,1,689,6,1062,0.991366906,0.393489435,0.5694,0.563368765
2,irregular,1,96,425,427,0.184261036,0.183556405,2.4101,0.183908046
2,semiregular,1,451,33,357,0.931818182,0.558168317,0.7512,0.698142415
2,regular,2,770,4,901,0.994832041,0.460801915,0.6348,0.629856851
2,irregular,2,163,653,656,0.199754902,0.199023199,3.7742,0.199388379
2,semiregular,2,478,36,299,0.929961089,0.615186615,0.7991,0.740511232
2,regular,3,1190,45,51,0.963562753,0.95890411,1.0139,0.961227787
2,irregular,3,142,475,479,0.230145867,0.228663446,2.8618,0.229402262
2,semiregular,3,534,63,160,0.894472362,0.76945245,0.9274,0.827265686
3,regular,1,912,3,275,0.996721311,0.768323505,0.8727,0.867745005
3,irregular,1,120,369,371,0.245398773,0.244399185,2.192,0.244897959
3,semiregular,1,534,113,249,0.825347759,0.681992337,0.9064,0.746853147
3,regular,2,564,2,973,0.996466431,0.366948601,0.5404,0.536376605
3,irregular,2,127,360,362,0.260780287,0.259713701,2.183,0.260245902
3,semiregular,2,497,76,359,0.867364747,0.580607477,0.8045,0.695591323
3,regular,3,1045,44,46,0.95959596,0.957836847,1.0361,0.958715596
3,irregular,3,197,307,309,0.390873016,0.389328063,2.2589,0.39009901
3,semiregular,3,617,64,132,0.906020558,0.82376502,0.9539,0.862937063
4,regular,1,767,3,661,0.996103896,0.537114846,0.703,0.697907188
4,irregular,1,113,419,421,0.212406015,0.211610487,2.3421,0.212007505
4,semiregular,1,484,141,144,0.7744,0.770700637,1.0228,0.77254589
4,regular,2,691,1,816,0.998554913,0.458526875,0.6312,0.628467485
4,irregular,2,131,434,435,0.231858407,0.231448763,2.4825,0.231653404
4,semiregular,2,439,98,249,0.817504655,0.638081395,0.8795,0.716734694
4,regular,3,986,3,224,0.996966633,0.814876033,0.901,0.89677126
4,irregular,3,197,346,348,0.362799263,0.36146789,2.3904,0.362132353
