Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1,regular,1,803,28,236,0.9663056558363418,0.7728585178055823,0.8911,0.8588235294117648
1,irregular,1,90,302,303,0.22959183673469388,0.22900763358778625,1.9749,0.22929936305732482
1,semiregular,1,615,176,180,0.7774968394437421,0.7735849056603774,1.1309,0.7755359394703656
1,regular,2,629,24,589,0.9632465543644717,0.5164203612479474,0.7001,0.672367717797969
1,irregular,2,163,495,498,0.24772036474164133,0.24659606656580937,3.3216,0.24715693707354056
1,semiregular,2,630,198,202,0.7608695652173914,0.7572115384615384,1.1835,0.7590361445783133
1,regular,3,915,56,59,0.9423274974253347,0.9394250513347022,1.0395,0.9408740359897172
1,irregular,3,196,476,479,0.2916666666666667,0.2903703703703704,3.3920,0.29101707498144025
1,semiregular,3,662,265,269,0.7141316073354909,0.7110633727175081,1.3243,0.7125941872981699
2,regular,1,784,5,872,0.9936628643852978,0.47342995169082125,0.6471,0.6413087934560326
2,irregular,1,97,412,414,0.1905697445972495,0.1898238747553816,2.3548,0.19019607843137254
2,semiregular,1,516,51,208,0.91005291005291,0.712707182320442,0.8810,0.7993803253292021
2,regular,2,871,5,698,0.9942922374429224,0.5551306564690885,0.7181,0.7124744376278118
2,irregular,2,196,763,766,0.20437956204379562,0.20374220374220375,4.4332,0.2040603852160333
2,semiregular,2,573,66,79,0.8967136150234741,0.8788343558282209,0.9923,0.887683965917893
2,regular,3,1172,22,77,0.981574539363484,0.9383506805444356,0.9796,0.959476054031928
2,irregular,3,159,630,634,0.20152091254752852,0.2005044136191677,3.6544,0.20101137800252844
2,semiregular,3,539,68,145,0.8879736408566722,0.7880116959064327,0.9428,0.8350116189000775
3,regular,1,874,13,341,0.9853438556933484,0.7193415637860082,0.8462,0.8315889628924833
3,irregular,1,107,381,383,0.2192622950819672,0.21836734693877552,2.1875,0.21881390593047034
3,semiregular,1,579,119,152,0.829512893982808,0.7920656634746922,0.9791,0.8103568929321204
3,regular,2,644,2,813,0.9969040247678018,0.4420041180507893,0.6163,0.6124583927722301
3,irregular,2,134,418,420,0.2427536231884058,0.24187725631768953,2.4732,0.24231464737793854
3,semiregular,2,561,86,220,0.8670788253477589,0.7183098591549296,0.9092,0.7857142857142858
3,regular,3,1025,26,28,0.9752616555661275,0.97340930674264,1.0000,0.9743346007604562
3,irregular,3,202,459,461,0.30559757942511345,0.3046757164404223,2.9598,0.30513595166163143
3,semiregular,3,637,70,86,0.900990099009901,0.8810511756569848,0.9902,0.890909090909091
4,regular,1,803,6,587,0.992583436341162,0.5776978417266188,0.7375,0.7303319690768532
4,irregular,1,101,331,333,0.2337962962962963,0.23271889400921658,1.9035,0.23325635103926096
4,semiregular,1,511,146,148,0.7777777777777778,0.7754172989377845,1.0733,0.776595744680851
4,regular,2,855,2,486,0.9976662777129521,0.6375838926174496,0.7820,0.7779799818016377
4,irregular,2,163,550,553,0.22861150070126227,0.2276536312849162,3.1404,0.22813156053184044
4,semiregular,2,501,114,117,0.8146341463414634,0.8106796116504854,1.0065,0.8126520681265207
4,regular,3,1004,7,184,0.9930761622156281,0.8451178451178452,0.9210,0.9131423374261028
4,irregular,3,201,474,476,0.29777777777777775,0.2968980797636632,2.9693,0.29733727810650884
4,semiregular,3,560,98,100,0.851063829787234,0.8484848484848485,1.0749,0.8497723823975721
5,regular,1,830,1,423,0.9987966305655837,0.6624102154828412,0.7998,0.7965451055662187
5,irregular,1,100,438,440,0.18587360594795538,0.18518518518518517,2.4885,0.18552875695732837
5,semiregular,1,590,234,237,0.7160194174757282,0.713422007255139,1.2380,0.7147183525136283
5,regular,2,792,1,499,0.9987389659520807,0.6134779240898528,0.7634,0.7600767754318618
5,irregular,2,134,608,611,0.18059299191374664,0.17986577181208055,3.4332,0.18022864828513788
5,semiregular,2,528,136,142,0.7951807228915663,0.7880597014925373,0.9970,0.7916041979010494
5,regular,3,1043,73,77,0.9345878136200717,0.93125,1.0728,0.9329159212880143
5,irregular,3,210,854,858,0.19736842105263158,0.19662921348314608,4.9217,0.19699812382739215
5,semiregular,3,628,151,154,0.8061617458279846,0.80306905370844,1.1707,0.8046124279308136
6,regular,1,740,11,336,0.9853528628495339,0.6877323420074349,0.8240,0.810071154898741
6,irregular,1,97,402,404,0.19438877755511022,0.1936127744510978,2.5692,0.19400000000000003
6,semiregular,1,538,103,220,0.8393135725429017,0.7097625329815304,0.9187,0.7691208005718371
6,regular,2,831,7,157,0.9916467780429594,0.8410931174089069,0.9202,0.910186199342826
6,irregular,2,122,440,443,0.21708185053380782,0.215929203539823,2.8974,0.2165039929015084
6,semiregular,2,595,134,136,0.8161865569272977,0.813953488372093,1.0428,0.8150684931506849
6,regular,3,913,99,101,0.9021739130434783,0.9003944773175543,1.1082,0.9012833168805529
6,irregular,3,178,601,604,0.22849807445442877,0.22762148337595908,4.0103,0.22805893657911597
6,semiregular,3,671,97,99,0.8736979166666666,0.8714285714285714,1.0984,0.8725617685305591
7,regular,1,1164,42,87,0.9651741293532339,0.9304556354916067,0.9829,0.9474969474969475
7,irregular,1,96,554,556,0.1476923076923077,0.147239263803681,2.8978,0.14746543778801846
7,semiregular,1,551,120,297,0.8211624441132638,0.6497641509433962,0.8857,0.7254772876892692
7,regular,2,602,5,1248,0.9917627677100495,0.3254054054054054,0.4959,0.49002849002848997
7,irregular,2,141,756,758,0.15719063545150502,0.1568409343715239,3.9956,0.15701559020044545
7,semiregular,2,479,98,464,0.830155979202773,0.5079533404029692,0.7608,0.6302631578947369
7,regular,3,1117,5,219,0.9955436720142602,0.8360778443113772,0.9138,0.9088689991863302
7,irregular,3,197,701,703,0.21937639198218262,0.21888888888888888,4.0000,0.21913236929922134
7,semiregular,3,685,142,144,0.8282950423216445,0.8262967430639324,1.0894,0.8272946859903381
8,regular,1,713,2,640,0.9972027972027973,0.5269770879526977,0.6928,0.6895551257253385
8,irregular,1,95,584,583,0.13991163475699558,0.140117994100295,2.7984,0.14001473839351514
8,semiregular,1,609,147,285,0.8055555555555556,0.6812080536912751,0.9190,0.7381818181818183
8,regular,2,685,3,694,0.9956395348837209,0.49673676577229875,0.6676,0.6627963231736815
8,irregular,2,138,998,1002,0.12147887323943662,0.12105263157894737,4.6914,0.12126537785588754
8,semiregular,2,546,75,483,0.8792270531400966,0.5306122448979592,0.7557,0.6618181818181819
8,regular,3,1034,135,139,0.8845166809238666,0.8815004262574595,1.1333,0.8830059777967549
8,irregular,3,231,1241,1244,0.15692934782608695,0.15661016949152542,6.0700,0.15676959619952494
8,semiregular,3,751,112,114,0.8702201622247973,0.8682080924855491,1.0459,0.8692129629629629
9,regular,1,965,4,275,0.9958720330237358,0.7782258064516129,0.8799,0.8736985061113627
