Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1,regular,1,774,27,295,0.966292135,0.72404116,0.8591,0.827807487
1,irregular,1,91,269,271,0.252777778,0.251381215,1.8191,0.252077562
1,semiregular,1,623,203,208,0.754237288,0.749699158,1.1821,0.751961376
1,regular,2,705,36,424,0.951417004,0.624446413,0.7951,0.754010695
1,irregular,2,170,495,498,0.255639098,0.254491018,3.3568,0.255063766
1,semiregular,2,624,217,223,0.741973841,0.736717828,1.2048,0.739336493
1,regular,3,932,44,46,0.954918033,0.952965235,1.0438,0.953940635
1,irregular,3,170,90,91,0.653846154,0.651340996,1.3116,0.652591171
1,semiregular,3,624,100,101,0.861878453,0.860689655,1.0313,0.861283644
2,regular,1,852,10,731,0.988399072,0.538218572,0.7067,0.696932515
2,irregular,1,89,376,377,0.191397849,0.190987124,2.1475,0.191192266
2,semiregular,1,523,47,198,0.91754386,0.725381415,0.8856,0.810224632
2,regular,2,908,6,623,0.993435449,0.593076421,0.7492,0.742740286
2,irregular,2,189,639,642,0.22826087,0.227436823,3.8295,0.227848101
2,semiregular,2,571,67,82,0.894984326,0.874425727,0.9907,0.884585593
2,regular,3,1107,6,224,0.994609164,0.831705485,0.9126,0.90589198
2,irregular,3,91,168,171,0.351351351,0.347328244,1.2074,0.349328215
2,semiregular,3,497,64,234,0.885918004,0.679890561,0.8702,0.769349845
3,regular,1,863,2,374,0.997687861,0.697655618,0.8253,0.82112274
3,irregular,1,99,337,339,0.22706422,0.226027397,1.9554,0.226544622
3,semiregular,1,607,127,130,0.826975477,0.823609227,1.0293,0.825288919
3,regular,2,826,2,448,0.997584541,0.648351648,0.7901,0.785918173
3,irregular,2,136,434,435,0.238596491,0.238178634,2.5491,0.238387379
3,semiregular,2,611,117,121,0.839285714,0.834699454,1.0223,0.836986301
3,regular,3,954,2,195,0.99790795,0.830287206,0.9088,0.906413302
3,irregular,3,183,58,59,0.7593361,0.756198347,1.0804,0.757763975
3,semiregular,3,622,40,147,0.939577039,0.808842653,0.926,0.869322152
4,regular,1,832,4,530,0.995215311,0.610866373,0.7629,0.757051865
4,irregular,1,104,368,370,0.220338983,0.219409283,2.0789,0.21987315
4,semiregular,1,521,174,175,0.749640288,0.748563218,1.1336,0.749101366
4,regular,2,941,3,314,0.996822034,0.749800797,0.8601,0.855843565
4,irregular,2,168,508,510,0.24852071,0.247787611,2.9737,0.248153619
4,semiregular,2,513,127,130,0.8015625,0.797822706,1.0472,0.799688231
4,regular,3,1046,10,99,0.990530303,0.913537118,0.96,0.950477056
4,irregular,3,175,94,93,0.650557621,0.652985075,1.1842,0.651769088
4,semiregular,3,492,57,185,0.896174863,0.726735598,0.8974,0.802610114
5,regular,1,824,1,435,0.998787879,0.654487689,0.7941,0.790786948
5,irregular,1,95,403,405,0.190763052,0.19,2.3041,0.190380762
5,semiregular,1,585,215,217,0.73125,0.729426434,1.2006,0.730337079
5,regular,2,1000,8,75,0.992063492,0.930232558,0.9703,0.960153625
5,irregular,2,118,550,552,0.176646707,0.176119403,3.0876,0.176382661
5,semiregular,2,573,207,209,0.734615385,0.732736573,1.1707,0.733674776
5,regular,3,1018,20,31,0.980732177,0.970448046,0.9952,0.975563009
5,irregular,3,187,118,119,0.613114754,0.611111111,1.4101,0.612111293
5,semiregular,3,598,83,82,0.878120411,0.879411765,1.021,0.878765614
6,regular,1,876,16,58,0.98206278,0.937901499,0.9792,0.959474261
6,irregular,1,95,429,431,0.18129771,0.180608365,2.6974,0.180952381
6,semiregular,1,583,143,147,0.803030303,0.798630137,1.0414,0.800824176
6,regular,2,890,24,28,0.973741794,0.969498911,1.0033,0.971615721
6,irregular,2,110,407,411,0.212765957,0.211132438,2.6718,0.21194605
6,semiregular,2,627,153,155,0.803846154,0.801790281,1.1155,0.802816901
6,regular,3,904,33,34,0.964781217,0.963752665,1.0251,0.964266667
6,irregular,3,162,71,70,0.69527897,0.698275862,1.2,0.696774194
6,semiregular,3,650,55,56,0.921985816,0.920679887,1.0071,0.921332388
7,regular,1,854,2,748,0.997663551,0.533083645,0.6976,0.694873881
7,irregular,1,95,495,498,0.161016949,0.160202361,2.6356,0.160608622
7,semiregular,1,465,85,505,0.845454545,0.479381443,0.7254,0.611842105
7,regular,2,891,4,670,0.995530726,0.570787956,0.7309,0.725570033
7,irregular,2,127,700,702,0.15356711,0.153196622,3.6844,0.153381643
7,semiregular,2,591,122,215,0.828892006,0.73325062,0.9409,0.778143515
7,regular,3,1124,4,207,0.996453901,0.844477836,0.9179,0.914192761
7,irregular,3,188,125,125,0.600638978,0.600638978,1.3956,0.600638978
7,semiregular,3,664,96,97,0.873684211,0.872536137,1,0.873109796
8,regular,1,845,1,375,0.998817967,0.692622951,0.8213,0.818005808
8,irregular,1,93,574,574,0.139430285,0.139430285,2.749,0.139430285
8,semiregular,1,630,142,248,0.816062176,0.717539863,0.9383,0.763636364
8,regular,2,738,2,589,0.997297297,0.556141673,0.7179,0.714078374
8,irregular,2,100,636,639,0.135869565,0.135317997,3.0412,0.13559322
8,semiregular,2,616,103,315,0.85674548,0.661654135,0.8742,0.746666667
8,regular,3,993,13,69,0.987077535,0.935028249,0.9739,0.960348162
8,irregular,3,191,85,86,0.692028986,0.689530686,1.1399,0.690777577
8,semiregular,3,729,79,116,0.902227723,0.862721893,0.9782,0.882032668
9,regular,1,1034,7,134,0.993275696,0.885273973,0.9449,0.936170213
9,irregular,1,110,483,485,0.18549747,0.18487395,2.2368,0.185185185
9,semiregular,1,581,86,150,0.871064468,0.794801642,0.9572,0.831187411
9,regular,2,888,4,430,0.995515695,0.673748103,0.8094,0.80361991
