Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1,regular,1,890,35,55,0.962162162,0.941798942,0.9915,0.951871658
1,irregular,1,89,277,279,0.243169399,0.241847826,1.8492,0.242506812
1,semiregular,1,678,293,298,0.698249228,0.694672131,1.3883,0.696456086
1,regular,2,716,40,398,0.947089947,0.642728905,0.8111,0.765775401
1,irregular,2,160,470,474,0.253968254,0.252365931,3.1859,0.253164557
1,semiregular,2,656,304,310,0.683333333,0.679089027,1.3741,0.681204569
1,regular,3,934,52,54,0.947261663,0.94534413,1.0544,0.946301925
1,irregular,3,181,96,97,0.653429603,0.651079137,1.397,0.652252252
1,semiregular,3,627,118,119,0.841610738,0.840482574,1.0612,0.841046278
2,regular,1,892,7,653,0.992213571,0.577346278,0.7377,0.7299509
2,irregular,1,108,403,405,0.211350294,0.210526316,2.3641,0.2109375
2,semiregular,1,557,83,93,0.8703125,0.856923077,0.9954,0.863565891
2,regular,2,953,8,530,0.991675338,0.642616318,0.7884,0.779869067
2,irregular,2,195,659,662,0.228337237,0.227537923,3.9493,0.227936879
2,semiregular,2,563,70,95,0.889415482,0.8556231,0.983,0.872192099
2,regular,3,1146,30,121,0.974489796,0.904498816,0.9649,0.938190749
2,irregular,3,107,241,245,0.307471264,0.303977273,1.6221,0.305714286
2,semiregular,3,532,79,148,0.870703764,0.782352941,0.949,0.824167312
3,regular,1,981,29,111,0.971287129,0.898351648,0.963,0.933396765
3,irregular,1,98,329,330,0.229508197,0.228971963,1.9107,0.229239766
3,semiregular,1,653,174,178,0.789600967,0.785800241,1.1606,0.787696019
3,regular,2,804,2,492,0.99751861,0.62037037,0.7692,0.764985728
3,irregular,2,160,484,486,0.248447205,0.247678019,2.8839,0.248062016
3,semiregular,2,618,120,124,0.837398374,0.832884097,1.0363,0.835135135
3,regular,3,990,8,117,0.991983968,0.894308943,0.9487,0.940617577
3,irregular,3,197,146,147,0.574344023,0.572674419,1.5357,0.573508006
3,semiregular,3,631,58,110,0.915820029,0.851551957,0.9651,0.882517483
4,regular,1,927,6,338,0.993569132,0.732806324,0.851,0.843494086
4,irregular,1,112,427,429,0.207792208,0.20702403,2.3728,0.207407407
4,semiregular,1,561,211,214,0.726683938,0.723870968,1.2622,0.725274725
4,regular,2,993,1,212,0.998993964,0.82406639,0.9055,0.90313779
4,irregular,2,170,480,483,0.261538462,0.260336907,2.864,0.260936301
4,semiregular,2,522,142,145,0.786144578,0.782608696,1.0863,0.784372652
4,regular,3,1082,33,35,0.970403587,0.96866607,1.0145,0.96953405
4,irregular,3,177,206,207,0.462140992,0.4609375,1.6842,0.461538462
4,semiregular,3,538,73,77,0.880523732,0.874796748,0.9984,0.877650897
5,regular,1,859,1,366,0.998837209,0.70122449,0.8266,0.823980815
5,irregular,1,108,437,440,0.198165138,0.197080292,2.5253,0.197621226
5,semiregular,1,612,246,250,0.713286713,0.709976798,1.2904,0.711627907
5,regular,2,976,2,129,0.99795501,0.883257919,0.9416,0.937109938
5,irregular,2,146,634,637,0.187179487,0.186462324,3.6083,0.186820218
5,semiregular,2,603,218,222,0.734470158,0.730909091,1.235,0.732685298
5,regular,3,1040,73,75,0.9344115,0.932735426,1.068,0.933572711
5,irregular,3,198,119,120,0.624605678,0.622641509,1.4654,0.623622047
5,semiregular,3,627,125,126,0.833776596,0.832669323,1.1272,0.833222591
6,regular,1,887,41,45,0.955818966,0.951716738,1.0186,0.953763441
6,irregular,1,94,428,430,0.180076628,0.179389313,2.6872,0.179732314
6,semiregular,1,603,169,174,0.781088083,0.776061776,1.1084,0.778566817
6,regular,2,886,35,40,0.961997828,0.956803456,1.012,0.959393611
6,irregular,2,145,543,547,0.210755814,0.209537572,3.5487,0.210144928
6,semiregular,2,629,175,177,0.782338308,0.780397022,1.1498,0.78136646
6,regular,3,914,42,44,0.956066946,0.954070981,1.047,0.955067921
6,irregular,3,169,219,220,0.43556701,0.434447301,1.9949,0.435006435
6,semiregular,3,655,73,74,0.899725275,0.898491084,1.0399,0.899107756
7,regular,1,1165,123,126,0.904503106,0.902401239,1.0496,0.90345095
7,irregular,1,139,666,668,0.172670807,0.172242875,3.5867,0.172456576
7,semiregular,1,465,90,500,0.837837838,0.481865285,0.7319,0.611842105
7,regular,2,954,3,545,0.996865204,0.636424283,0.7813,0.776872964
7,irregular,2,130,710,713,0.154761905,0.154211151,3.7467,0.154486037
7,semiregular,2,642,133,137,0.828387097,0.824133504,1.0237,0.826254826
7,regular,3,1131,3,194,0.997354497,0.853584906,0.9228,0.919886133
7,irregular,3,179,239,241,0.428229665,0.426190476,1.8667,0.427207637
7,semiregular,3,646,83,145,0.886145405,0.816687737,0.9606,0.85
8,regular,1,843,5,375,0.994103774,0.692118227,0.8232,0.8160697
8,irregular,1,95,626,628,0.131761442,0.131396957,2.9753,0.131578947
8,semiregular,1,673,154,159,0.813784764,0.808894231,1.006,0.811332128
8,regular,2,792,5,478,0.993726474,0.623622047,0.7729,0.766328012
8,irregular,2,123,929,933,0.116920152,0.116477273,4.3457,0.116698292
8,semiregular,2,653,112,233,0.853594771,0.737020316,0.9287,0.791035736
8,regular,3,1002,34,36,0.967181467,0.965317919,1.0029,0.966248795
8,irregular,3,209,313,314,0.400383142,0.399617591,2.1523,0.4
8,semiregular,3,754,82,84,0.901913876,0.899761337,1.0133,0.90083632
9,regular,1,1090,72,78,0.938037866,0.933219178,1.0551,0.935622318
9,irregular,1,111,530,532,0.173166927,0.172628305,2.4173,0.172897196
9,semiregular,1,609,123,127,0.831967213,0.827445652,1.0499,0.829700272
9,regular,2,893,5,419,0.994432071,0.680640244,0.8148,0.808144796
9,irregular,2,189,989,993,0.160441426,0.159898477,4.4436,0.160169492
9,semiregular,2,616,75,92,0.89146165,0.870056497,0.99,0.880629021
9,regular,3,992,3,225,0.996984925,0.815119145,0.9006,0.896925859
9,irregular,3,217,230,231,0.485458613,0.484375,1.6842,0.484916201
9,semiregular,3,650,35,65,0.948905109,0.909090909,0.98,0.928571429
10,regular,1,866,44,245,0.951648352,0.779477948,0.9043,0.857001484
10,irregular,1,131,454,455,0.223931624,0.223549488,2.3725,0.223740393
10,semiregular,1,566,142,147,0.799435028,0.793828892,1.0869,0.796622097
10,regular,2,969,42,46,0.958456973,0.954679803,1.001,0.956564659
10,irregular,2,142,567,569,0.200282087,0.199718706,2.8785,0.2
10,semiregular,2,606,131,134,0.822252374,0.818918919,1.128,0.820582261
10,regular,3,1013,224,227,0.818916734,0.816935484,1.2229,0.817924909
10,irregular,3,217,155,157,0.583333333,0.580213904,1.5142,0.581769437
10,semiregular,3,610,88,89,0.873925501,0.87267525,1.0655,0.873299928
11,regular,1,929,3,275,0.996781116,0.771594684,0.8748,0.869850187
11,irregular,1,116,482,481,0.193979933,0.194304858,2.5063,0.194142259
11,semiregular,1,596,164,167,0.784210526,0.78112713,1.09,0.782665791
11,regular,2,809,0,518,1,0.609645818,0.7598,0.757490637
11,irregular,2,137,616,618,0.181938911,0.181456954,3.159,0.181697613
11,semiregular,2,562,131,142,0.810966811,0.798295455,0.9943,0.804581246
11,regular,3,1023,9,84,0.99127907,0.924119241,0.9654,0.956521739
11,irregular,3,192,197,199,0.493573265,0.491048593,1.636,0.492307692
11,semiregular,3,621,67,90,0.902616279,0.873417722,0.9843,0.887776984
12,regular,1,929,16,135,0.983068783,0.873120301,0.9434,0.924838228
12,irregular,1,103,522,523,0.1648,0.164536741,3.0686,0.164668265
12,semiregular,1,548,232,237,0.702564103,0.698089172,1.2246,0.700319489
12,regular,2,972,11,55,0.988809766,0.946445959,0.9801,0.967164179
12,irregular,2,119,659,662,0.152956298,0.152368758,3.8284,0.152661963
12,semiregular,2,554,193,197,0.741633199,0.737683089,1.1716,0.73965287
12,regular,3,950,27,81,0.972364381,0.9214355,0.9762,0.946215139
12,irregular,3,188,240,241,0.439252336,0.438228438,2.1029,0.43873979
12,semiregular,3,591,79,80,0.882089552,0.880774963,1.0468,0.881431767
13,regular,1,936,9,114,0.99047619,0.891428571,0.95,0.938345865
13,irregular,1,90,772,773,0.104408353,0.10428737,3.9954,0.104347826
13,semiregular,1,732,160,165,0.820627803,0.816053512,1.1006,0.818334265
13,regular,2,978,47,52,0.954146341,0.949514563,1.03,0.951824818
13,irregular,2,139,1067,1070,0.115257048,0.11497105,5.5972,0.115113872
13,semiregular,2,700,133,136,0.840336134,0.837320574,1.0258,0.838825644
13,regular,3,969,20,41,0.979777553,0.959405941,0.99,0.969484742
13,irregular,3,184,280,281,0.396551724,0.395698925,2.1528,0.396124865
13,semiregular,3,742,56,88,0.929824561,0.893975904,0.9816,0.911547912
14,regular,1,936,2,225,0.997867804,0.80620155,0.8964,0.891853263
14,irregular,1,112,489,490,0.186356073,0.186046512,2.7742,0.186201164
14,semiregular,1,757,159,163,0.826419214,0.822826087,1.0077,0.824618736
14,regular,2,959,1,180,0.998958333,0.841966637,0.9173,0.913768461
14,irregular,2,159,767,770,0.171706263,0.171151776,4.2811,0.171428571
14,semiregular,2,886,237,241,0.788958148,0.786157941,1.2344,0.787555556
14,regular,3,888,1,326,0.998875141,0.731466227,0.846,0.844507846
14,irregular,3,203,282,284,0.418556701,0.416837782,2.2442,0.417695473
14,semiregular,3,664,204,291,0.764976959,0.695287958,0.954,0.728469556
15,regular,1,894,0,136,1,0.867961165,0.9315,0.929313929
15,irregular,1,83,458,458,0.153419593,0.153419593,2.4817,0.153419593
15,semiregular,1,700,250,256,0.736842105,0.732217573,1.2351,0.73452256
15,regular,2,844,2,232,0.997635934,0.784386617,0.8838,0.878251821
15,irregular,2,134,691,693,0.162424242,0.162031439,3.7936,0.162227603
15,semiregular,2,683,129,131,0.841133005,0.839066339,1.0517,0.840098401
15,regular,3,946,28,29,0.971252567,0.97025641,1.0114,0.970754233
15,irregular,3,192,196,197,0.494845361,0.493573265,1.7844,0.494208494
15,semiregular,3,695,64,93,0.915678524,0.881979695,0.9819,0.898513251
16,regular,1,784,5,642,0.993662864,0.549789621,0.7142,0.707900677
16,irregular,1,193,648,650,0.229488704,0.228944247,3.0993,0.229216152
16,semiregular,1,528,108,194,0.830188679,0.731301939,0.9398,0.777614138
16,regular,2,1024,3,163,0.99707887,0.862679023,0.9297,0.925022584
16,irregular,2,173,647,650,0.21097561,0.210206561,3.0257,0.210590383
16,semiregular,2,589,142,144,0.805745554,0.803547067,1.0764,0.804644809
16,regular,3,1018,7,173,0.993170732,0.854743913,0.9261,0.918772563
16,irregular,3,227,194,196,0.539192399,0.536643026,1.5551,0.537914692
16,semiregular,3,615,87,89,0.876068376,0.873579545,1.0338,0.874822191
17,regular,1,803,1,447,0.998756219,0.6424,0.7852,0.781888997
17,irregular,1,146,699,702,0.172781065,0.172169811,3.5333,0.172474897
17,semiregular,1,705,113,146,0.861858191,0.828437133,0.9833,0.844817256
17,regular,2,1002,33,39,0.968115942,0.962536023,1.0117,0.965317919
