Window #,Window start index,Window stop index,GT steps in window,Predicted steps in window,GT running step sum,Predicted running step sum,Difference,Index output
0,-63,11,0.0,4.657164,0.0,0.06209552129109701,0,None
1,-62,12,1.0,1.1522694,0.013333333333333334,0.07745911280314127,0,None
2,-61,13,1.0,0.20553726,0.02666666666666667,0.08019960959752401,0,None
3,-60,14,1.0,-1.2004416,0.04,0.06419372161229452,0,None
4,-59,15,1.0,-2.715988,0.05333333333333334,0.027980549335479735,0,None
5,-58,16,1.0,-3.364915,0.06666666666666667,-0.016884982585906982,0,None
6,-57,17,1.0,-3.043599,0.08,-0.057466301123301186,0,None
7,-56,18,1.0,-2.7663522,0.09333333333333334,-0.09435099681218465,0,None
8,-55,19,1.0,-2.1314776,0.10666666666666667,-0.12277069807052612,0,None
9,-54,20,1.0,0.15456516,0.12000000000000001,-0.12070982933044434,0,None
10,-53,21,1.0,4.0974045,0.13333333333333333,-0.06607776959737142,0,None
11,-52,22,1.0,7.5412116,0.14666666666666667,0.03447171847025553,0,None
12,-51,23,1.0,9.967507,0.16,0.16737181663513184,0,None
13,-50,24,1.0,11.402119,0.17333333333333334,0.31940006573994956,0,None
14,-49,25,1.0,7.3828087,0.18666666666666668,0.41783751487731935,0,None
15,-48,26,1.0,4.2694592,0.2,0.47476363817850753,0,None
16,-47,27,2.0,1.3488772,0.22666666666666668,0.49274866739908857,0,None
17,-46,28,2.0,-0.39954966,0.25333333333333335,0.487421338558197,0,None
18,-45,29,2.0,-1.968879,0.28,0.4611696187655131,0,None
19,-44,30,2.0,0.28232175,0.3066666666666667,0.46493390878041585,0,None
20,-43,31,2.0,3.2937853,0.33333333333333337,0.5088510465621948,0,None
21,-42,32,2.0,2.2698948,0.36000000000000004,0.5391163110733033,0,None
22,-41,33,2.0,0.5083199,0.3866666666666667,0.5458939099311829,0,None
23,-40,34,2.0,-4.759429,0.4133333333333334,0.4824348568916321,0,None
24,-39,35,2.0,-2.6459637,0.44000000000000006,0.4471553413073222,0,None
25,-38,36,2.0,1.4077306,0.46666666666666673,0.4659250823656718,0,None
26,-37,37,2.0,2.8176956,0.4933333333333334,0.5034943572680156,0,None
27,-36,38,3.0,3.6752434,0.5333333333333334,0.5524976023038229,0,None
28,-35,39,3.0,3.34356,0.5733333333333335,0.597078402042389,0,None
29,-34,40,3.0,1.3283389,0.6133333333333335,0.6147895868619284,0,None
30,-33,41,3.0,0.36868924,0.6533333333333335,0.6197054433822633,0,None
31,-32,42,3.0,1.6296978,0.6933333333333336,0.6414347473780315,0,None
32,-31,43,3.0,2.585419,0.7333333333333336,0.6759069999059042,0,None
33,-30,44,3.0,2.688798,0.7733333333333337,0.7117576392491659,0,None
34,-29,45,3.0,2.5147123,0.8133333333333337,0.7452871370315552,0,None
35,-28,46,3.0,4.354293,0.8533333333333337,0.8033443752924602,0,None
36,-27,47,4.0,6.372309,0.9066666666666671,0.8883084980646769,0,None
37,-26,48,4.0,7.016117,0.9600000000000004,0.9818567260106404,0,None
38,-25,49,4.0,6.3760123,1.0133333333333336,1.066870223681132,1,13
39,-24,50,4.0,6.21412,1.0666666666666669,1.1497251558303834,0,None
40,-23,51,4.0,7.4529567,1.12,1.2490979115168255,0,None
41,-22,52,4.0,8.703003,1.1733333333333333,1.3651379505793255,0,None
42,-21,53,4.0,9.064808,1.2266666666666666,1.4860020558039349,0,None
43,-20,54,4.0,6.06746,1.2799999999999998,1.5669015232721966,0,None
44,-19,55,4.0,7.551807,1.333333333333333,1.6675922822952272,0,None
45,-18,56,5.0,11.317658,1.3999999999999997,1.8184943946202596,0,None
46,-17,57,5.0,12.282434,1.4666666666666663,1.9822601874669394,0,None
47,-16,58,5.0,7.208685,1.533333333333333,2.078375986417135,1,22
48,-15,59,5.0,3.8601716,1.5999999999999996,2.1298449405034385,0,None
49,-14,60,5.0,4.1744094,1.6666666666666663,2.185503732363383,0,None
50,-13,61,5.0,3.105653,1.733333333333333,2.226912439664205,0,None
51,-12,62,5.0,6.207014,1.7999999999999996,2.309672627449036,0,None
52,-11,63,5.0,6.491335,1.8666666666666663,2.396223759651184,0,None
53,-10,64,5.0,5.1474166,1.933333333333333,2.464855980873108,0,None
54,-9,65,5.0,4.3816724,1.9999999999999996,2.5232782793045048,0,None
55,-8,66,6.0,5.439359,2.0799999999999996,2.5958030684789026,0,None
56,-7,67,6.0,7.9033127,2.1599999999999997,2.7011805709203087,0,None
57,-6,68,6.0,6.963334,2.2399999999999998,2.7940250253677372,0,None
58,-5,69,6.0,4.470497,2.32,2.853631653785706,0,None
59,-4,70,6.0,3.7763119,2.4,2.903982478777568,0,None
60,-3,71,6.0,3.2687728,2.48,2.9475661166508997,0,None
61,-2,72,6.0,3.5822933,2.56,2.9953300269444787,0,None
62,-1,73,6.0,5.3462996,2.64,3.066614022254944,1,37
63,0,74,7.0,5.770997,2.7333333333333334,3.143560649553935,0,None
64,1,75,7.0,6.9036655,2.8266666666666667,3.2356095234553024,0,None
65,2,76,7.0,2.0023384,2.92,3.262307368914287,0,None
66,3,77,7.0,1.5047534,3.013333333333333,3.282370746930441,0,None
67,4,78,7.0,-2.4100614,3.1066666666666665,3.2502365954717005,0,None
68,5,79,7.0,0.084713995,3.1999999999999997,3.2513661154111233,0,None
69,6,80,7.0,1.3646483,3.293333333333333,3.2695614266395574,0,None
70,7,81,8.0,1.4461851,3.3999999999999995,3.288843894799551,0,None
71,8,82,8.0,2.4783816,3.506666666666666,3.3218889832496648,0,None
72,9,83,8.0,6.8605876,3.6133333333333324,3.4133634845415757,0,None
73,10,84,8.0,5.725029,3.719999999999999,3.4896972044308985,0,None
74,11,85,8.0,8.284523,3.8266666666666653,3.600157511234284,0,None
75,12,86,8.0,6.061958,3.933333333333332,3.680983615716299,0,None
76,13,87,7.0,5.5756063,4.0266666666666655,3.755325033664704,0,None
77,14,88,7.0,10.544228,4.119999999999999,3.8959147349993395,0,None
78,15,89,7.0,6.509658,4.213333333333333,3.982710173130036,0,None
79,16,90,8.0,7.7210884,4.319999999999999,4.085658018589021,1,54
80,17,91,8.0,5.1715317,4.426666666666666,4.154611774285635,0,None
81,18,92,8.0,7.614883,4.533333333333332,4.25614354689916,0,None
82,19,93,8.0,9.267616,4.639999999999999,4.379711763858796,0,None
83,20,94,8.0,7.2362785,4.746666666666665,4.476195477644604,0,None
84,21,95,8.0,6.6479683,4.853333333333332,4.564835054874421,0,None
85,22,96,8.0,6.367552,4.959999999999998,4.64973574558894,0,None
86,23,97,8.0,5.1905537,5.066666666666665,4.718943127791088,0,None
87,24,98,8.0,5.406977,5.173333333333331,4.791036156813305,0,None
88,25,99,8.0,4.880239,5.279999999999998,4.856106010278067,0,None
89,26,100,8.0,4.549608,5.386666666666664,4.916767453352612,0,None
90,27,101,8.0,5.073866,5.4933333333333305,4.984418998559318,0,None
91,28,102,7.0,6.026144,5.586666666666664,5.06476758559545,1,66
92,29,103,7.0,6.602153,5.679999999999998,5.152796289920809,0,None
93,30,104,7.0,11.547157,5.773333333333332,5.306758387088777,0,None
94,31,105,7.0,8.057363,5.866666666666665,5.414189887841545,0,None
95,32,106,7.0,4.5741353,5.959999999999999,5.475178358554842,0,None
96,33,107,8.0,6.5404854,6.0666666666666655,5.56238483031591,0,None
97,34,108,8.0,6.3042197,6.173333333333332,5.646441093285881,0,None
98,35,109,8.0,6.787876,6.2799999999999985,5.736946108341219,0,None
99,36,110,8.0,9.353451,6.386666666666665,5.861658785343172,0,None
100,37,111,8.0,4.375651,6.493333333333331,5.920000797112785,0,None
101,38,112,8.0,7.068202,6.599999999999998,6.014243490695955,1,76
102,39,113,7.0,8.218426,6.693333333333332,6.123822500705721,0,None
103,40,114,7.0,4.33924,6.786666666666665,6.181679035027824,0,None
104,41,115,7.0,7.255795,6.879999999999999,6.278422968387606,0,None
105,42,116,7.0,9.146509,6.973333333333333,6.400376423994702,0,None
106,43,117,7.0,9.69552,7.066666666666666,6.529650029341382,0,None
107,44,118,7.0,8.27195,7.16,6.639942692915601,0,None
108,45,119,8.0,4.8193555,7.266666666666667,6.704200766086581,0,None
109,46,120,8.0,6.848504,7.373333333333333,6.795514153639478,0,None
110,47,121,8.0,10.746807,7.4799999999999995,6.9388049149513265,0,None
111,48,122,7.0,10.789148,7.573333333333333,7.082660226027173,1,86
112,49,123,7.0,3.2254565,7.666666666666667,7.12566631237666,0,None
113,50,124,7.0,-0.85773057,7.760000000000001,7.11422990481059,0,None
114,51,125,7.0,5.84835,7.853333333333334,7.192207905451459,0,None
115,52,126,7.0,7.0868855,7.946666666666668,7.286699711481733,0,None
116,53,127,7.0,7.332839,8.040000000000001,7.3844708983103455,0,None
117,54,128,7.0,7.1708965,8.133333333333335,7.4800828520456975,0,None
118,55,129,8.0,1.5484991,8.240000000000002,7.500729506810509,0,None
119,56,130,8.0,0.43817717,8.34666666666667,7.506571869055433,0,None
120,57,131,7.0,2.6127355,8.440000000000003,7.541408342520399,0,None
121,58,132,7.0,2.8343952,8.533333333333337,7.579200278123223,0,None
122,59,133,7.0,1.5874212,8.62666666666667,7.600365893840793,0,None
123,60,134,7.0,0.5499709,8.720000000000004,7.607698839505517,0,None
124,61,135,7.0,4.103242,8.813333333333338,7.662408731778466,0,None
125,62,136,7.0,6.5103035,8.906666666666672,7.749212778409325,0,None
126,63,137,8.0,6.9928474,9.013333333333339,7.8424507443110185,0,None
127,64,138,8.0,6.26466,9.120000000000006,7.925979542732242,0,None
128,65,139,8.0,8.763642,9.226666666666674,8.042828106880192,1,103
129,66,140,8.0,9.200731,9.333333333333341,8.16550452391307,0,None
130,67,141,7.0,8.247027,9.426666666666675,8.27546488920848,0,None
131,68,142,7.0,3.6545348,9.520000000000008,8.324192020098373,0,None
132,69,143,7.0,2.9048622,9.613333333333342,8.36292351563772,0,None
133,70,144,7.0,0.6118148,9.706666666666676,8.371081046263381,0,None
134,71,145,7.0,2.3493493,9.80000000000001,8.402405703067783,0,None
135,72,146,8.0,6.6324387,9.906666666666677,8.490838218530023,0,None
