Samples in original data: 10
Data points per sample: 1
Splitting data from rows 0 to 2
Splitting data from rows 2 to 4
Splitting data from rows 4 to 6
Splitting data from rows 6 to 8
Splitting data from rows 8 to 10
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
data has shape (48, 0)
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
data has shape (48, 0)
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
data has shape (48, 0)
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 0 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 1 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 2 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 3 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 4 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 5 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 6 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
error on line: 7 length is 0
data has shape (48, 0)
