Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1,regular,1,650,22,548,0.9672619047619048,0.5425709515859767,0.7215,0.6951871657754012
1,irregular,1,121,349,351,0.2574468085106383,0.2563559322033898,2.3719,0.25690021231422505
1,semiregular,1,529,118,227,0.8176197836166924,0.6997354497354498,0.9246,0.7540983606557378
1,regular,2,824,23,199,0.9728453364817001,0.8054740957966764,0.9082,0.881283422459893
1,irregular,2,124,366,369,0.2530612244897959,0.2515212981744422,2.4774,0.25228891149542215
1,semiregular,2,559,126,159,0.8160583941605839,0.7785515320334262,0.9787,0.796863863150392
1,regular,3,779,22,292,0.9725343320848939,0.7273576097105509,0.8570,0.8322649572649573
1,irregular,3,184,310,312,0.3724696356275304,0.3709677419354839,2.4925,0.37171717171717167
1,semiregular,3,608,117,120,0.8386206896551724,0.8351648351648352,1.0356,0.8368891947694426
2,regular,1,856,5,727,0.9941927990708479,0.5407454200884396,0.7067,0.7004909983633387
2,irregular,1,108,470,473,0.18685121107266436,0.18588640275387264,2.6774,0.18636755823986192
2,semiregular,1,450,34,357,0.9297520661157025,0.5576208178438662,0.7527,0.69713400464756
2,regular,2,939,3,565,0.9968152866242038,0.6243351063829787,0.7712,0.7677841373671301
2,irregular,2,167,505,508,0.24851190476190477,0.2474074074074074,3.1106,0.2479584261321455
2,semiregular,2,515,34,228,0.9380692167577414,0.693135935397039,0.8516,0.7972136222910217
2,regular,3,1185,90,97,0.9294117647058824,0.9243369734789392,1.0474,0.926867422761048
2,irregular,3,146,492,496,0.22884012539184953,0.22741433021806853,2.9585,0.22812500000000002
2,semiregular,3,531,52,177,0.9108061749571184,0.75,0.9057,0.8226181254841209
3,regular,1,870,1,361,0.9988518943742825,0.7067424857839155,0.8310,0.8277830637488108
3,irregular,1,118,448,451,0.20848056537102475,0.20738137082601055,2.5402,0.20792951541850221
3,semiregular,1,501,86,341,0.8534923339011925,0.5950118764845606,0.8240,0.7011896431070679
3,regular,2,789,1,523,0.9987341772151899,0.6013719512195121,0.7540,0.7507136060894386
3,irregular,2,150,489,491,0.2347417840375587,0.23400936037441497,2.8616,0.23437500000000003
3,semiregular,2,527,81,294,0.8667763157894737,0.6419001218026796,0.8534,0.7375787263820854
3,regular,3,982,13,127,0.9869346733668342,0.8854824165915239,0.9468,0.9334600760456274
3,irregular,3,199,423,425,0.319935691318328,0.3189102564102564,2.7857,0.31942215088282505
3,semiregular,3,635,65,95,0.9071428571428571,0.8698630136986302,0.9804,0.8881118881118881
4,regular,1,732,5,730,0.9932157394843962,0.5006839945280438,0.6721,0.6657571623465212
